position,salary_grade_id
Accountant I,11
Accountant II,15
Accountant III,18
Accountant IV,22
Accounting Analyst,11
Accounting Clerk I,4
Accounting Clerk II,6
Accounting Clerk III,8
Accounting Machine Operator I,5
Accounting Machine Operator II,7
Accounting Machine Operator III,10
Accounts Liquidation Assistant,8
Accounts Liquidation Officer I,11
Accounts Liquidation Officer II,15
Accounts Liquidation Officer III,18
Accounts Liquidation Officer IV,22
Accounts Liquidation Officer V,24
Actuarial Researcher,9
Acupressure Technician,6
Administrative Aide I,1
Administrative Aide II,2
Administrative Aide III,3
Administrative Aide IV,4
Administrative Aide V,5
Administrative Aide VI,6
Administrative Assistant,8
Administrative Assistant I,7
Administrative Assistant II,8
Administrative Assistant III,9
Administrative Assistant IV,10
Administrative Assistant V,11
Administrative Assistant VI,12
Administrative Officer I,10
Administrative Officer I,11
Administrative Officer II,11
Administrative Officer II,15
Administrative Officer III,14
Administrative Officer III,18
Administrative Officer IV,15
Administrative Officer IV,22
Administrative Officer V,18
Administrative Officer V,24
Administrator I,28
Administrator II,29
Administrator III,30
Advertising Officer I,10
Advertising Officer II,14
Advertising Officer III,18
Advertising Officer IV,20
Aerial Photo Analyst I,12
Aerial Photo Analyst II,16
Agrarian Reform Program Officer I,11
Agrarian Reform Program Officer II,15
Agrarian Reform Program Technologist,10
Agricultural Center Chief I,18
Agricultural Center Chief II,20
Agricultural Center Chief III,22
Agricultural Center Chief IV,24
Agricultural Products Inspector I,6
Agricultural Products Inspector II,8
Agricultural Products Inspector III,11
Agricultural Technician I,6
Agricultural Technician II,8
Agricultural Technologist,10
Agriculturist I,11
Agriculturist II,15
Air Navigation Services Supervisor,25
Air Navigation System Specialist I,17
Air Navigation System Specialist II,18
Air Terminal Supervisor,15
Air Traffic Controller I,18
Air Traffic Controller II,19
Air Traffic Services Supervisor,25
Air-Conditioning Technician I,6
Air-Conditioning Technician II,8
Aircraft Maintenance Technologist I,11
Aircraft Maintenance Technologist II,15
Aircraft Maintenance Technologist III,18
Aircraft Mechanic I,6
Aircraft Mechanic II,8
Aircraft Mechanic III,11
Aircraft Mechanic IV,13
Airfield Power Technician I,4
Airfield Power Technician II,6
Airfield Power Technician III,9
Airfield Power Technician IV,11
Airfield Power Technician V,13
Airport Manager I,20
Airport Manager II,23
Airport Manager III,24
Airport Manager IV,26
Airport Project Supervisor,17
Airways Communications Services Supervisor,25
Airways Communicator I,17
Airways Communicator II,18
Ammunition Worker I,2
Ammunition Worker II,4
Animal Feed Control Officer,13
Animal Keeper I,4
Animal Keeper II,6
Animal Keeper III,9
Antenna Rigger,3
Aquacultural Technician I,6
Aquacultural Technician II,8
Aquacultural Technologist,10
Aquaculturist I,11
Aquaculturist II,15
Architect I,12
Architect II,16
Architect III,19
Architect IV,22
Architect V,24
Archivist I,10
Archivist II,14
Armorer I,2
Armorer II,4
Artificial Limb and Brace Maker I,4
Artificial Limb and Brace Maker II,6
Artificial Limb and Brace Maker III,9
Artist-Illustrator I,6
Artist-Illustrator II,8
Artist-Illustrator III,11
Assessment Clerk I,4
Assessment Clerk II,6
Assessment Clerk III,9
Assistant Cabinet Secretary,29
Assistant Chef,8
Assistant Chief Air Navigation System Specialist,23
Assistant Chief Air Traffic Controller,23
Assistant Chief Airways Communicator,23
Assistant Chief of Staff (OVP),29
Assistant Chief State Counsel,29
Assistant College Department Head,17
Assistant Commissioner of Internal Revenue,27
"Assistant Commissioner, Constitutional Commission",29
Assistant Court Administrator of the Supreme Court,30
Assistant Customs Operations Officer,9
Assistant Director-General,29
Assistant Executive Secretary,29
Assistant Financial Claims Examiner,7
Assistant General Manager,29
Assistant Government Corporate Counsel,29
Assistant Information Officer,8
Assistant Land Registration Examiner,7
Assistant Launch Service Supervisor,9
Assistant Mining Claims Examiner,7
Assistant National Cashier,22
Assistant Nutritionist-Dietitian,7
Assistant Ombudsman,29
Assistant Parole Officer,12
Assistant Press Secretary,29
Assistant Professor I,15
Assistant Professor II,16
Assistant Professor III,17
Assistant Professor IV,18
Assistant Provincial Warden,18
Assistant Regional Cabinet Secretary,27
Assistant Regional Executive Secretary,27
Assistant Registration Officer,8
Assistant Remote Sensing Technologist,8
Assistant Revenue Officer,9
Assistant Schools Division Superintendent,25
Assistant Scientist,24
Assistant Secondary School Principal I,17
Assistant Secondary School Principal II,18
Assistant Secondary School Principal III,19
Assistant Solicitor-General,29
Assistant Special School Principal,17
Assistant Statistical Coordination Officer,9
Assistant Statistician,9
Assistant Superintendent of Printing,25
Assistant Supervisor of Student Teaching,15
Assistant Teachers’ Camp Superintendent,22
Assistant Traffic Operations Officer,8
Assistant Weather Services Chief,22
